Title,URL,Assignees,Status,Labels
"Write  user, (technical) design, and build/deploy documentation",https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/112,HaruspexSan,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 3, topic: documentation 📝, type: feature ✨"
Refactor headlines of webpages,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/108,HaruspexSan,Feature Archive,"🟨 priority: medium, Est Size: 3, Real Size: 3, type: feature ✨, type: Refactoring 🛠"
Make charts show multiple data in Y axis,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/99,IngoSternberg,Feature Archive,"🟨 priority: medium, Est Size: 3, Real Size: 3, topic: frontend, type: feature ✨"
Display information box for facilities in details page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/77,Hydraneut,Feature Archive,"🟨 priority: medium, Est Size: 3, Real Size: 3, topic: frontend, type: feature ✨"
Show selected facility on the right side of the work orders form page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/81,PatrickSchm1dt,Feature Archive,"🟨 priority: medium, Est Size: 3, Real Size: 2, topic: frontend, type: feature ✨"
Back button for headers from details to facility overview ,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/78,IngoSternberg,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 1, topic: frontend, type: feature ✨"
		Make charts bigger in details page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/79,IngoSternberg,Feature Archive,"🟧 priority: high, Est Size: 1, Real Size: 2, topic: frontend, type: feature ✨"
Implement Case CRUD operations,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/68,"Persists, Sabo2k",Feature Archive,"🟨 priority: medium, Est Size: 8, Real Size: 8, topic: backend, type: feature ✨"
Implement Work Order view,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/85,Hydraneut,Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 3, topic: frontend, type: feature ✨"
 Implement Mock Server for IOT Timeseries API in NestJS,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/29,Persists,Feature Archive,"Est Size: 8, Real Size: 8, topic: backend, type: feature ✨"
"Rename ""work orders"" to ""cases"" throughout the application",https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/76,HaruspexSan,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 2, topic: frontend, type: feature ✨"
Create Build Process Video,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/92,HaruspexSan,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 2, topic: documentation 📝, type: Information ℹ️"
Define product vision,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/69,"lamara11, shahraz1998",Feature Archive,"🟨 priority: medium, Est Size: 1, topic: documentation 📝, type: Information ℹ️"
Define Project mission,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/70,"lamara11, shahraz1998",Feature Archive,"🟨 priority: medium, Est Size: 1, topic: documentation 📝, type: Information ℹ️"
Switch from card view to event list view in the List all facilities page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/62,"HaruspexSan, Hydraneut",Feature Archive,"🟨 priority: medium, Est Size: 2, Real Size: 2, topic: frontend, type: feature ✨"
Add Favicon in App,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/58,HaruspexSan,Feature Archive,"🟩 priority: low, Est Size: 1, Real Size: 1, topic: frontend, type: feature ✨"
