Title,URL,Assignees,Status,Labels
 Implement Mock Server for IOT Timeseries API in NestJS,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/29,"KonsumGandalf, Persists, Sabo2k",Feature Archive,"Est Size: 8, Real Size: 8, topic: backend, type: feature ✨"
"Rename ""work orders"" to ""cases"" throughout the application",https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/76,HaruspexSan,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 2, topic: frontend, type: feature ✨"
Create Build Process Video,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/92,HaruspexSan,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 2, topic: documentation 📝, type: Information ℹ️"
Define product vision,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/69,"lamara11, shahraz1998",Feature Archive,"🟨 priority: medium, Est Size: 1, topic: documentation 📝, type: Information ℹ️"
Define Project mission,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/70,"lamara11, shahraz1998",Feature Archive,"🟨 priority: medium, Est Size: 1, topic: documentation 📝, type: Information ℹ️"
Switch from card view to event list view in the List all facilities page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/62,"HaruspexSan, Hydraneut",Feature Archive,"🟨 priority: medium, Est Size: 2, Real Size: 2, topic: frontend, type: feature ✨"
Add Favicon in App,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/58,HaruspexSan,Feature Archive,"🟩 priority: low, Est Size: 1, Real Size: 1, topic: frontend, type: feature ✨"
Authentication: Login Page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/55,"HaruspexSan, Hydraneut",Feature Archive,"🟧 priority: high, Est Size: 5, Real Size: 5, topic: backend, topic: frontend, topic: Security 🔒, type: feature ✨"
Frame Application Screen: Implement Details Page ,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/54,IngoSternberg,Feature Archive,"🟧 priority: high, Est Size: 5, Real Size: 5, topic: frontend, type: feature ✨"
Automate the bill of materials,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/52,Hydraneut,Feature Archive,"🟩 priority: low, Est Size: 3, Real Size: 3, topic: documentation 📝, topic: Tool 🔧, type: feature ✨"
Set up Tailwind,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/48,IngoSternberg,Feature Archive,"🟥 priority: critical, Est Size: 2, Real Size: 2, topic: frontend, topic: Tool 🔧, type: feature ✨"
Navigation/Routing,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/47,KonsumGandalf,Feature Archive,"🟥 priority: critical, Est Size: 3, Real Size: 5, topic: frontend, type: feature ✨"
Frame Application Screen: Facilities Overview,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/46,"IngoSternberg, PatrickSchm1dt",Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 2, topic: frontend, type: feature ✨"
Frame Application Screen: Order Form,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/45,PatrickSchm1dt,Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 5, topic: frontend, type: feature ✨"
Frame Application Screen: Homepage (Facilities with errors),https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/44,"HaruspexSan, Hydraneut, IngoSternberg, PatrickSchm1dt",Feature Archive,"🟥 priority: critical, Est Size: 3, Real Size: 5, topic: frontend, type: feature ✨"
Show selected facility on the right side of the work orders form page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/81,PatrickSchm1dt,In Progress,"🟨 priority: medium, Est Size: 3, topic: frontend, type: feature ✨"
Maintenance of architecture overview,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/41,HaruspexSan,In Progress,"🟩 priority: low, Est Size: 5, topic: documentation 📝, type: feature ✨"
Authentication: Github Login,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/75,"HaruspexSan, Hydraneut",Feature Archive,"🟨 priority: medium, topic: frontend, type: feature ✨"
User login using Github account via OIDC provider ,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/30,"HaruspexSan, Hydraneut",In Progress,"🟨 priority: medium, Est Size: 5, topic: backend, topic: frontend, type: feature ✨"
Adjust timestamps,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/84,Persists,In Progress,"🟨 priority: medium, Est Size: 3, topic: backend, topic: frontend, type: feature ✨"
Connect details page to backend,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/82,"IngoSternberg, Persists, Sabo2k",In Progress,"🟧 priority: high, Est Size: 5, topic: backend, topic: frontend, type: feature ✨"
Implement Work Order view,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/85,Hydraneut,Awaiting Review,"🟧 priority: high, Est Size: 3, topic: frontend, type: feature ✨"
Implement Case CRUD operations,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/68,"Persists, Sabo2k",Awaiting Review,"🟨 priority: medium, Est Size: 8, topic: backend, type: feature ✨"
		Make charts bigger in details page,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/79,IngoSternberg,Awaiting Review,"🟧 priority: high, Est Size: 1, topic: frontend, type: feature ✨"
Back button for headers from details to facility overview ,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/78,IngoSternberg,Awaiting Review,"🟧 priority: high, Est Size: 2, topic: frontend, type: feature ✨"
Connect Siemens API to the IoT service,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/83,"KonsumGandalf, Persists",Feature Archive,"🟧 priority: high, Est Size: 5, topic: backend, type: feature ✨"
Setting up Prisma,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/43,Persists,Feature Archive,"🟨 priority: medium, Est Size: 3, Real Size: 3, topic: backend, topic: Tool 🔧, type: feature ✨"
Automate release process,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/42,"KonsumGandalf, Sabo2k",Feature Archive,"🟨 priority: medium, Est Size: 5, Real Size: 5, topic: CI/CD, type: feature ✨"
Build process review,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/31,"HaruspexSan, Hydraneut, IngoSternberg, KonsumGandalf, PatrickSchm1dt, Persists, Sabo2k",Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 3, topic: documentation 📝, type: feature ✨"
Deployment of the Application to a free Infrastructure,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/25,"HaruspexSan, Hydraneut, IngoSternberg, KonsumGandalf, PatrickSchm1dt, Persists, Sabo2k",Feature Archive,"🟨 priority: medium, status: label required 🏷, topic: CI/CD, type: feature ✨"
Config service for NEST,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/14,Persists,Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 5, topic: backend, type: feature ✨"
Config based service implementation in Angular,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/13,"IngoSternberg, KonsumGandalf, PatrickSchm1dt",Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 5, topic: frontend, type: feature ✨"
Nx Setup,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/12,"KonsumGandalf, Persists",Feature Archive,"🟧 priority: high, Est Size: 3, Real Size: 5, type: feature ✨"
GitHub Pipelines,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/10,KonsumGandalf,Feature Archive,"🟨 priority: medium, Est Size: 2, Real Size: 5, topic: CI/CD, type: feature ✨"
Fill in the bill of materials,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/8,Hydraneut,Feature Archive,"🟧 priority: high, Est Size: 2, Real Size: 2, topic: documentation 📝, type: feature ✨"
Software architecture document,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/7,"HaruspexSan, Sabo2k",Feature Archive,"🟧 priority: high, Est Size: 5, Real Size: 5, topic: documentation 📝, type: feature ✨"
Research of fundamentals,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/3,"HaruspexSan, PatrickSchm1dt, Sabo2k",Feature Archive,"topic: backend, topic: documentation 📝, topic: frontend, topic: Tool 🔧, type: feature ✨"
Create T-shirt mockup,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/2,lamara11,Feature Archive,"topic: documentation 📝, type: feature ✨"
