Title,URL,Assignees,Status,Labels
Create T-shirt mockup,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/2,lamara11,Feature Archive,"topic: documentation 📝, type: feature ✨"
Design and upload team logo,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/1,shahraz1998,Feature Archive,"topic: documentation 📝, type: feature ✨"
Research of fundamentals,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/3,"HaruspexSan, PatrickSchm1dt, Sabo2k",Feature Archive,"topic: backend, topic: documentation 📝, topic: frontend, topic: Tool 🔧, type: feature ✨"
Nx Setup,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/12,"KonsumGandalf, Persists",Feature Archive,"🟧 priority: high, Est Size: M, Real Size: L, type: feature ✨"
Set up Tailwind,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/48,IngoSternberg,Awaiting Review,"🟥 priority: critical, Est Size: S, topic: frontend, topic: Tool 🔧, type: feature ✨"
Config based service implementation in Angular,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/13,"IngoSternberg, KonsumGandalf, PatrickSchm1dt",In Progress,"🟧 priority: high, Est Size: M, topic: frontend, type: feature ✨"
Frame Application Screen: Order Form,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/45,"IngoSternberg, PatrickSchm1dt",In Progress,"🟧 priority: high, Est Size: M, topic: frontend, type: feature ✨"
Automate the bill of materials,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/52,Hydraneut,In Progress,"🟩 priority: low, Est Size: M, topic: documentation 📝, topic: Tool 🔧, type: feature ✨"
Navigation/Routing,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/47,KonsumGandalf,Awaiting Review,"🟥 priority: critical, Est Size: M, topic: frontend, type: feature ✨"
Frame Application Screen: Homepage (Facilities with errors),https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/44,"HaruspexSan, Hydraneut, IngoSternberg, PatrickSchm1dt",Awaiting Review,"🟥 priority: critical, Est Size: M, topic: frontend, type: feature ✨"
Frame Application Screen: Facilities Overview,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/46,,Awaiting Review,"🟧 priority: high, Est Size: M, topic: frontend, type: feature ✨"
Config service for NEST,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/14,Persists,Awaiting Review,"🟧 priority: high, Est Size: M, topic: backend, type: feature ✨"
Setting up Prisma,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/43,Persists,Awaiting Review,"🟨 priority: medium, Est Size: M, topic: backend, topic: Tool 🔧, type: feature ✨"
Build process review,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/31,"HaruspexSan, Hydraneut, IngoSternberg, KonsumGandalf, PatrickSchm1dt, Persists, Sabo2k",Sprint Backlog,"🟧 priority: high, Est Size: M, topic: documentation 📝, type: feature ✨"
Automate release process,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/42,"KonsumGandalf, Sabo2k",Feature Archive,"🟨 priority: medium, Est Size: L, topic: CI/CD, type: feature ✨"
Deployment of the Application to a free Infrastructure,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/25,"HaruspexSan, Hydraneut, IngoSternberg, KonsumGandalf, PatrickSchm1dt, Persists, Sabo2k",Sprint Backlog,"🟨 priority: medium, status: label required 🏷, topic: CI/CD, type: feature ✨"
Maintenance of architecture overview,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/41,HaruspexSan,Sprint Backlog,"🟩 priority: low, Est Size: L, topic: documentation 📝, type: Information ℹ️"
Software architecture document,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/7,"HaruspexSan, Sabo2k",Feature Archive,"🟧 priority: high, Est Size: L, Real Size: L, topic: documentation 📝, type: feature ✨"
GitHub Pipelines,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/10,KonsumGandalf,Feature Archive,"🟨 priority: medium, Est Size: S, Real Size: L, topic: CI/CD, type: feature ✨"
Fill in the bill of materials,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/8,Hydraneut,Feature Archive,"🟧 priority: high, Est Size: S, Real Size: S, topic: documentation 📝, type: feature ✨"
Frame Application: Create order from facilities with errors,https://github.com/amosproj/amos2024ss01-xcelerator-demo-app/issues/53,,Product Backlog,"🟧 priority: high, topic: frontend, type: feature ✨"
